ID,Location,Price,Bedrooms,Bathrooms,Size,Description,Neighborhood
BER0001,"Kreuzberg, Berlin","€600,000",2,1,90 sqm,Stylish loft apartment with industrial chic design. Open concept living space with exposed brick walls and high ceilings. Large windows provide plenty of natural light. Shared rooftop terrace.,Vibrant area known for its street art and nightlife. Close to trendy restaurants and bars. The U-bahn station is a 10-minute walk away. Tram stop nearby.
BER0002,"Kreuzberg, Berlin","€600,000",2,1,90 sqm,Stylish loft apartment with industrial-chic design. Open floor plan with exposed brick walls and large windows. Modern kitchen with stainless steel appliances. Shared rooftop terrace with city views.,"Vibrant area known for its street art and diverse culture. Close to trendy bars, restaurants, and boutiques. The U-bahn station is a 15-minute walk away. Bus stop right outside the building."
BER0003,"Friedrichshain, Berlin","€600,000",2,1,100 sqm,Modern loft-style apartment with open floor plan and floor-to-ceiling windows. Spacious living area with exposed brick walls. Balcony overlooking the city skyline. On-site gym and rooftop terrace.,"Vibrant area with a lively nightlife and cultural scene. Close to restaurants, bars, and shops. The U-bahn station is a 15-minute walk away. Tram stop nearby."
BER0004,"Kreuzberg, Berlin","€600,000",2,1,90 sqm,Stylish loft apartment with industrial-chic design features. Open-plan living space with exposed brick walls and large windows. Private rooftop terrace with city views. Bike storage available.,"Vibrant area with eclectic bars and restaurants. Close to public transportation options, including the U-bhan and bus stops within walking distance."
BER0005,"Charlottenburg, Berlin","€1,200,000",2,2,100 sqm,Elegant apartment in a historic building with original features and modern updates. Spacious living area with fireplace and large windows. Beautiful courtyard garden. Parking available.,Upscale area with luxury boutiques and restaurants. Close to Tiergarten park and Charlottenburg Palace. U-bhan station within walking distance.
BER0006,"Kreuzberg, Berlin","€600,000",2,1,100 sqm,Modern loft-style apartment with open floor plan and industrial chic design. Large windows for plenty of natural light. Shared rooftop terrace with city views. Bike storage available.,"Vibrant area with street art, restaurants, and nightlife. Close to public transportation with the U-bahn and bus stops within walking distance."
BER0007,"Kreuzberg, Berlin","€600,000",2,1,100 sqm,Modern loft-style apartment with exposed brick walls and industrial design. Open-plan living area and stylish kitchen. Large windows with plenty of natural light. Balcony with city views.,"Vibrant area known for its street art, music venues, and international cuisine. Close to public transportation and walking distance to popular bars and restaurants."
BER0008,"Kreuzberg, Berlin","€600,000",2,1,100 sqm,Stylish loft apartment with industrial design elements. Open floor plan with exposed brick walls and high ceilings. Large windows with plenty of natural light. Bicycle storage available.,"Vibrant neighborhood with street art, trendy bars, and restaurants. Close to public transportation with the U-bhan station just a few blocks away."
BER0009,"Charlottenburg, Berlin","€1,200,000",5,3,180 sqm,Spacious family home with a large garden and outdoor entertaining area. Recently renovated with modern kitchen and bathrooms. Fireplace in the living room. Garage for two cars.,Upscale residential area with schools and shops nearby. The U-bhan station is a 15-minute walk away. Easy access to the city center.
BER0010,"Kreuzberg, Berlin","€600,000",2,1,90 sqm,Modern loft-style apartment with exposed brick walls and industrial accents. Open plan living area with floor-to-ceiling windows. Rooftop terrace with city views. Underground parking included.,"Vibrant area with street art, cafes, and nightlife. Close to public transportation, with the U-bahn station within walking distance. Trendy restaurants and boutiques nearby."
